,artist,style,museum_name,lat,lon,museum_location,museum_link
522,Patrick Henry Bruce,cubism,Corcoran Gallery of Art,38.9090004,-77.0480327,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R341+28
523,Patrick Henry Bruce,cubism,Hirshhorn Museum and Sculpture Garden,0.0,0.0,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?RB77+656
524,Patrick Henry Bruce,cubism,Philadelphia Museum of Art,39.965563849999995,-75.18151277315162,,http://www.artcyclopedia.com/scripts/r.pl?R063+427
525,Patrick Henry Bruce,cubism,Sheldon Museum of Art,40.81753745,-96.70446415,"Lincoln, Nebraska",http://www.artcyclopedia.com/scripts/r.pl?R256+133
526,Patrick Henry Bruce,cubism,Terra Foundation for American Art,0.0,0.0,Chicago,http://www.artcyclopedia.com/scripts/r.pl?R680+26
527,Patrick Henry Bruce,cubism,Thyssen-Bornemisza Museum,36.7213639,-4.42305138671875,Madrid,http://www.artcyclopedia.com/scripts/r.pl?R425+3
528,Patrick Henry Bruce,cubism,Smithsonian American Art Museum National Art Inventories,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RQ60+222
529,Albert Gleizes,cubism,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R053+1024
530,Albert Gleizes,cubism,Dallas Museum of Art,32.78783105,-96.80133687980364,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+17
531,Albert Gleizes,cubism,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+33
532,Albert Gleizes,cubism,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+260
533,Albert Gleizes,cubism,Metropolitan Museum of Art,40.7794396,-73.96338248033601,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Gleizes%2c+Albert%24Albert+Gleizes&pg=1
534,Albert Gleizes,cubism,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+239
535,Albert Gleizes,cubism,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1348.html?artobj_artistId=1348&pageNumber=1
536,Albert Gleizes,cubism,Peggy Guggenheim Collection,45.4307957,12.3316929,Venice,http://www.artcyclopedia.com/scripts/r.pl?R622+167
537,Albert Gleizes,cubism,Tate Gallery,51.5078947,-0.0996448,"London, UK",http://www.artcyclopedia.com/scripts/r.pl?R031+99
538,Albert Gleizes,cubism,Art Gallery of New South Wales,-33.86882365,151.21727034707598,"Sydney, Australia",http://www.artcyclopedia.com/scripts/r.pl?R908+94
539,Albert Gleizes,cubism,Chazen Museum of Art at the University of Wisconsin,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RB32+27
540,Albert Gleizes,cubism,Cleveland Museum of Art,41.5090438,-81.61173672190631,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+37
541,Albert Gleizes,cubism,Dublin City Gallery | The Hugh Lane,53.3545249,-6.2648895481726,"Dublin, Ireland",http://www.artcyclopedia.com/scripts/r.pl?RM47+8
542,Albert Gleizes,cubism,Harvard University Art Museums,0.0,0.0,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL66+402
543,Albert Gleizes,cubism,Hood Museum of Art,43.7017729,-72.2873889406063,New Hampshire,http://www.artcyclopedia.com/scripts/r.pl?RH55+22
544,Albert Gleizes,cubism,Indianapolis Museum of Art,39.82596175,-86.18583890576329,Indiana,http://www.artcyclopedia.com/scripts/r.pl?R122+538
545,Albert Gleizes,cubism,Los Angeles County Museum of Art,34.063736199999994,-118.35890315746158,,http://www.artcyclopedia.com/scripts/r.pl?RE85+462
546,Albert Gleizes,cubism,McMullen Museum of Art at Boston College,0.0,0.0,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?R111+25
547,Albert Gleizes,cubism,Minneapolis Institute of Arts,44.95859455,-93.27415255541163,Minnesota,http://www.artcyclopedia.com/scripts/r.pl?R603+77
548,Albert Gleizes,cubism,National Gallery of Victoria,-37.822610499999996,144.968900122702,Australia,http://www.artcyclopedia.com/scripts/r.pl?R372+275
549,Albert Gleizes,cubism,National Museum of Western Art,35.7155512,139.77594895767834,Tokyo,http://www.artcyclopedia.com/scripts/r.pl?R427+110
550,Albert Gleizes,cubism,Philadelphia Museum of Art,39.965563849999995,-75.18151277315162,,http://www.artcyclopedia.com/scripts/r.pl?R077+197
551,Albert Gleizes,cubism,Reina Sofía National Museum,0.0,0.0,Madrid ,http://www.artcyclopedia.com/scripts/r.pl?RH53+72
552,Albert Gleizes,cubism,Telefónica Foundation Collections,0.0,0.0,Madrid ,http://www.artcyclopedia.com/scripts/r.pl?R519+10
553,Albert Gleizes,cubism,Thyssen-Bornemisza Museum,36.7213639,-4.42305138671875,Madrid,http://www.artcyclopedia.com/scripts/r.pl?R425+115
554,Albert Gleizes,cubism,University of Iowa Museum of Art,0.0,0.0,Iowa City,http://www.artcyclopedia.com/scripts/r.pl?RR33+87
555,Natalia Goncharova,cubism,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R053+1
556,Natalia Goncharova,cubism,Dallas Museum of Art,32.78783105,-96.80133687980364,Texas,http://www.artcyclopedia.com/scripts/r.pl?R010+432
557,Natalia Goncharova,cubism,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+854
558,Natalia Goncharova,cubism,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+95
559,Natalia Goncharova,cubism,Metropolitan Museum of Art,40.7794396,-73.96338248033601,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=Goncharova%2c+Natalia%24Natalia+Goncharova&pg=1
560,Natalia Goncharova,cubism,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+248
561,Natalia Goncharova,cubism,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.6854.html?artobj_artistId=6854&pageNumber=1
562,Natalia Goncharova,cubism,National Gallery of Australia,-35.30084815,149.1366997241953,Canberra,http://www.nga.gov.au/Exhibition/Edwardians/Detail.cfm?IRN=156812&BioArtistIRN=21214&MnuID=2
564,Natalia Goncharova,cubism,Amgueddfa Cymru - National Museum Wales,52.025910249999995,-4.399351254575688,Cardiff,http://www.artcyclopedia.com/scripts/r.pl?R703+65
565,Natalia Goncharova,cubism,Cleveland Museum of Art,41.5090438,-81.61173672190631,Ohio,http://www.artcyclopedia.com/scripts/r.pl?R007+878
566,Natalia Goncharova,cubism,Harvard University Art Museums,0.0,0.0,Massachusetts,http://www.artcyclopedia.com/scripts/r.pl?RL59+496
567,Natalia Goncharova,cubism,Jane Voorhees Zimmerli Art Museum at Rutgers University,0.0,0.0,"Brunswick, New Jersey",http://www.artcyclopedia.com/scripts/r.pl?RR71+11
568,Natalia Goncharova,cubism,Los Angeles County Museum of Art,34.063736199999994,-118.35890315746158,,http://www.artcyclopedia.com/scripts/r.pl?RE85+1402
569,Natalia Goncharova,cubism,Minneapolis Institute of Arts,44.95859455,-93.27415255541163,Minnesota,http://www.artcyclopedia.com/scripts/r.pl?R603+322
570,Natalia Goncharova,cubism,Museum Ludwig,50.9408347,6.9600217,"Cologne, Germany ",http://www.artcyclopedia.com/scripts/r.pl?R977+16
573,Natalia Goncharova,cubism,National Gallery of Armenia,40.178763950000004,44.513897970771346,"Yerevan, Armenia",http://www.artcyclopedia.com/scripts/r.pl?RM92+110
574,Natalia Goncharova,cubism,National Museum of Women in the Arts,38.9000261,-77.0292709,Washington D.C.,http://www.artcyclopedia.com/scripts/r.pl?R123+37
575,Natalia Goncharova,cubism,Philadelphia Museum of Art,39.965563849999995,-75.18151277315162,,http://www.artcyclopedia.com/scripts/r.pl?R063+1122
576,Natalia Goncharova,cubism,State Museum of Contemporary Art,34.05328815,-118.25062277616152,"Thessaloniki, Greece",http://www.artcyclopedia.com/scripts/r.pl?R085+3
577,Natalia Goncharova,cubism,Telefónica Foundation Collections,0.0,0.0,Madrid ,http://www.artcyclopedia.com/scripts/r.pl?R519+11
578,Natalia Goncharova,cubism,Thyssen-Bornemisza Museum,36.7213639,-4.42305138671875,Madrid,http://www.artcyclopedia.com/scripts/r.pl?R425+118
579,Natalia Goncharova,cubism,Virtual Museum of Canada,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?R554+27
580,Natalia Goncharova,cubism,Wallraf-Richartz-Museum,50.93741045,6.958443355836139,"Cologne, Germany ",http://www.artcyclopedia.com/scripts/r.pl?RB87+127
581,Fernand Leger,cubism,Art Institute of Chicago,41.8796009,-87.62308280420407,,http://www.artcyclopedia.com/scripts/r.pl?R054+137
582,Fernand Leger,cubism,Fernand Leger at the Detroit Institute of Arts,0.0,0.0,Michigan,http://www.artcyclopedia.com/scripts/r.pl?R223+351
583,Fernand Leger,cubism,Fine Arts Museums of San Francisco,0.0,0.0,,http://www.artcyclopedia.com/scripts/r.pl?RA87+299
584,Fernand Leger,cubism,Guggenheim Museum,40.7829932,-73.95892501810057,New York City,http://www.artcyclopedia.com/scripts/r.pl?R062+345
585,Fernand Leger,cubism,Hermitage Museum,59.9412076,30.315486515853937,"Saint Petersburg, Russia",http://www.artcyclopedia.com/scripts/r.pl?R126+513
586,Fernand Leger,cubism,Metropolitan Museum of Art,40.7794396,-73.96338248033601,New York City,http://www.metmuseum.org/collection/the-collection-online/search?who=L%c3%a9ger%2c+Fernand%24Fernand+L%c3%a9ger&pg=1
587,Fernand Leger,cubism,Metropolitan Museum of Art ,40.7794396,-73.96338248033601,,http://www.metmuseum.org/toah/hi/hi_legerferdnand.htm
588,Fernand Leger,cubism,Musée d'Orsay,48.85991785,2.326582834696561,Paris,http://www.artcyclopedia.com/scripts/r.pl?R159+286
589,Fernand Leger,cubism,Musée National Fernand Léger,43.6223884,7.1125352862466125,"Biot, France ",http://www.artcyclopedia.com/scripts/r.pl?RG92+0
590,Fernand Leger,cubism,Museum of Fine Arts,42.3394576,-71.09389640108918,Boston,http://www.artcyclopedia.com/scripts/r.pl?RO38+155
591,Fernand Leger,cubism,Museum of Modern Art,40.761612400000004,-73.97749918210806,New York City,http://www.artcyclopedia.com/scripts/r.pl?R014+1254
593,Fernand Leger,cubism,National Galleries of Scotland,55.9508809,-3.195619300000002,Edinburgh,http://www.artcyclopedia.com/scripts/r.pl?RK91+376
594,Fernand Leger,cubism,National Gallery of Art,38.89131155,-77.01990447478894,Washington D.C.,http://www.nga.gov/content/ngaweb/Collection/artist-info.1475.html?artobj_artistId=1475&pageNumber=1
595,Fernand Leger,cubism,National Gallery of Australia,-35.30084815,149.1366997241953,Canberra,http://www.nga.gov.au/International/Catalogue/Detail.cfm?IRN=113595&SiteID=2
596,Fernand Leger,cubism,National Gallery of Canada,45.4295209,-75.69880918087051,Ottawa,http://www.artcyclopedia.com/scripts/r.pl?R487+167
